[Wed May 20 06:45:42 AM EDT 2026] GPU monitor started. Waiting for 4 free GPUs...
[Wed May 20 06:45:42 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:47:42 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:49:43 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:51:43 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:53:43 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:55:43 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:57:44 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 06:59:44 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:01:44 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:03:44 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:05:45 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:07:45 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:09:45 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:11:45 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:13:46 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:15:46 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:17:46 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:19:46 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:21:47 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:23:47 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:25:47 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:27:47 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:29:48 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:31:48 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:33:48 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:35:48 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:37:49 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:39:49 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:41:49 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:43:49 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:45:50 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:47:50 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:49:50 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:51:50 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:53:51 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:55:51 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:57:51 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 07:59:51 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:01:52 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:03:52 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:05:52 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:07:53 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:09:53 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:11:53 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:13:53 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:15:54 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:17:54 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:19:54 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:21:54 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:23:55 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:25:55 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:27:55 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:29:55 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:31:56 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:33:56 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:35:56 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:37:56 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:39:57 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:41:57 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:43:57 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:45:57 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:47:58 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:49:58 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:51:58 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:53:58 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:55:59 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:57:59 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 08:59:59 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:01:59 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:04:00 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:06:03 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:08:03 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:10:03 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:12:03 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:14:04 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:16:04 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:18:04 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:20:04 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:22:05 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:24:05 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:26:05 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:28:05 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:30:06 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:32:06 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:34:06 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:36:06 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
[Wed May 20 09:38:07 AM EDT 2026] Free GPUs (< 2000MiB used): [] — 0/8 free
