Occupying GPUs: [0, 1, 2, 3]
  GPU 0: allocated 38.0 GB
  GPU 1: allocated 38.0 GB
  GPU 2: allocated 38.0 GB
  GPU 3: allocated 38.0 GB

All 4 GPUs occupied. Press Ctrl+C or send SIGTERM to release.
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
  [heartbeat] GPU 3: 38.0 GB held
  [heartbeat] GPU 0: 38.0 GB held
  [heartbeat] GPU 1: 38.0 GB held
  [heartbeat] GPU 2: 38.0 GB held
